MWnum,haloId,Mgal,Mhalo,zmerge,Rapomed,RapoIQR,eccmed,eccIQR,agemed,ageIQR,FeHmed,FeHIQR,Lzmed,LzIQR,Emed,EIQR,Enormmed,EnormIQR,Ngc
12,2680,9460617.30069,1873189859.09,1.736966,62.76375,1.16705,0.608542,0.151961,12.5290323941,0.00565619619117,-1.958555,0.000475,-436.369024347,2290.45659575,-85800.2472216,2695.36460544,-0.700151933469,0.0219948636632,2
12,2803,4195474.12433,1240339060.35,1.736966,32.3044,0.0,0.225117,0.0,12.1234316734,0.0,-1.71092,0.0,-1763.70224886,0.0,-95121.7065382,0.0,-0.776217422493,0.0,1
12,1508,75320146.3479,24741565264.7,2.01241,44.97435,40.5075925,0.6980465,0.08231675,11.9117672811,0.393477239637,-2.06164,0.3721725,1019.53017452,1167.06777327,-98297.6881278,35708.7868369,-0.802134243512,0.291392821761,4
12,1024,7725826.30504,3846621414.86,2.237037,17.4341,0.0,0.367373,0.0,13.0533765729,0.0,-2.31776,0.0,1718.78354635,0.0,-121344.248763,0.0,-0.990200065129,0.0,1
12,659,3858686.0756,3045896073.44,2.478413,38.3404,0.0,0.627664,0.0,12.9919327951,0.0,-1.85939,0.0,-379.390937564,0.0,-97820.8601476,0.0,-0.798243205396,0.0,1
12,439,7281122.18059,4053143109.65,3.016505,4.03575,0.0,0.251203,0.0,12.6468857574,0.0,-2.01182,0.0,319.254101181,0.0,-157301.653418,0.0,-1.28362167179,0.0,1
13,9712,311665636.029,48331970202.5,0.61519,64.5775,15.892,0.793694,0.1824645,9.87705640525,1.21806194255,-1.14009,0.3581815,-110.98115885,1310.75353773,-79553.2848741,5329.60392746,-0.62357075698,0.0417755867744,7
13,8871,5405583.2228,3122297011.59,0.73563,189.829,35.037,0.76418,0.020576,10.7393220049,0.390355432827,-2.114485,0.287985,-515.525815992,948.514754266,-35213.0512368,109.406436708,-0.276014108658,0.000857571810697,2
13,6650,121056392.043,27684282725.3,1.004122,59.76795,1.96445,0.6338395,0.1092985,11.1774351767,0.467146818065,-1.1797945,0.1940955,4019.43422898,1232.71595039,-80013.0650011,4298.134329,-0.627174699196,0.0336905117291,2
13,4848,316154564.115,42189928358.5,1.486707,32.11315,40.2112,0.8831605,0.1649835,11.4908817363,1.80152637718,-1.621585,0.87006,30.3845150853,1130.75363027,-98216.0946357,23339.0868428,-0.769857392771,0.182941183042,18
13,3032,127994807.065,39427185790.3,2.01241,26.65435,41.7701,0.6649575,0.15779325,11.7928792435,0.348172129295,-1.49469,0.1405975,-105.870940278,2023.26962443,-100589.748306,24372.6952237,-0.788463048321,0.191043022728,6
13,3329,5853546.44375,3355820437.21,2.01241,61.1279,0.0,0.804954,0.0,12.0924080028,0.0,-2.21513,0.0,-568.977781492,0.0,-85843.7424243,0.0,-0.672877902279,0.0,1
13,3354,9606340.8712,5371042527.12,2.01241,30.5653,8.5683,0.716869,0.2892515,12.6386510275,0.406629631242,-2.08277,0.14802,-945.48482922,1174.200706,-101812.36657,4637.7987817,-0.798046423758,0.0363529388082,3
13,1553,4090887.14547,972397184.59,3.016505,74.0472,0.0,0.677991,0.0,12.7350069951,0.0,-1.9145,0.0,1590.93724378,0.0,-73718.3898233,0.0,-0.577834494429,0.0,1
13,1110,36826208.2778,9994562597.11,3.527977,32.96695,14.65785,0.62862,0.2757905,12.3978170119,0.186540486681,-1.59382,0.07698,442.819570462,1637.3346595,-101478.996495,10683.7185289,-0.795433334548,0.0837432981048,6
13,486,66710614.0319,13556724208.9,4.485214,58.7044,0.0,0.649447,0.0,13.1288850822,0.0,-2.04456,0.0,2891.79533075,0.0,-82787.0823556,0.0,-0.648918566899,0.0,1
13,335,3831909.86446,871080062.515,5.037236,24.7824,0.0,0.26289,0.0,12.8025222908,0.0,-1.88605,0.0,696.432430993,0.0,-95307.5677258,0.0,-0.747059184881,0.0,1
14,14032,11959579185.5,394798510719.0,0.0,18.798,23.91213,0.57733,0.27153,9.27744864191,2.41176280187,-0.755472,0.516839,1318.64389009,2088.89810139,-108779.43258,40094.5567634,-0.880138120572,0.324406434175,81
14,11865,37255599.931,16354251544.7,0.18271,237.9695,95.8345,0.39934075,0.35260025,11.3434189772,1.08615098198,-2.19982,0.13273,11150.067238,12306.8688211,-41657.2577032,14557.1552214,-0.337050301086,0.117782442264,2
14,8076,4972653155.38,230543638412.0,0.270901,13.6029,11.4991625,0.458398,0.339587,10.4646637131,1.54038575955,-1.012215,0.87613725,502.877173192,857.476179026,-117326.773519,32717.1648404,-0.949294949317,0.264715703052,76
14,3710,15393067.0331,8661576880.81,1.004122,100.7475,40.7995,0.765973,0.016303,11.8251437954,0.0931058426635,-1.668315,0.068155,1608.04649632,4597.74036238,-62532.2632285,1893.54134433,-0.505950686887,0.0153207079729,2
